Topic,Count,Name,Representation,Representative_Docs
9,139,9_gross_threw away_smells ok_smelled horrible,"['gross', 'threw away', 'smells ok', 'smelled horrible', 'smells terrible', 'really bad', 'body', 'smelled bad', 'smell pretty', 'smells horrible']","['Smells Atrocious', 'Smell', 'No smell at all']"
10,119,10_product_product burned_dry_products,"['product', 'product burned', 'dry', 'products', 'felt', 'skin felt', 'feel', 'feels', 'skin type', 'use product']","[""I give this product one star.  As a starter there were no instructions other than to apply generously twice a day.  They fail to tell you to expect extreme burning pain that lasts 4 hours!  They don't mention if you can apply your normal skincare products with it or not.  They don't say if or how you can lessen the burning pain.  I have never felt any pain like this on my face.  Not even bad sun burn feels this bad.  They didn't mention that  you would continue to feel this burning pain the entire 30 days or not.  Keep in mind you are supposed to apply twice a day.  So that meant 8 hours a day of the burning pain.  On day 21 the pain only lasted 1 hour with each application.  I feel sure I am one of the few who would put up with the burning pain.  On day 28 I did the first application, but I just could not endure another application, so I threw it in a box and gave up.  The only reason I endured as long as I did was because on day 5 I did notice an improvement in the wrinkles.  However by day 28 there was no more wrinkle improvement and I noticed big red splotches of broken blood vessels on my face and my skin felt like sand paper.  At that point I gave up on this product.  It took several days of pampering and moisturizing my skin to get rid of the tenderness and redness.  I have since started using a different anti-wrinkle product that is working without that extreme pain.  I would never recommend this product to anyone."", 'This cleanser is too drying for my skin. After one use my face is red and irritated from being to dry.  It feels like it is sunburned. I do not have oily skin, but more combination...to maybe a wee dry.  The description of the product on the page here on Amazon states is it good for all skin types.  However, when I received my bottle of cleanser I read that it was for oily skin types but good for combination too.  I wonder if I had oily skin it would not be so drying....I would like to have known that this cleanser is &#34;great&#34; for oily skin.  That would have tipped me off to knowing it would probably be too harsh for my particular skin type.  Not happy.', ""I ordered the full line of the OZ Naturals products, I have normal to oily combination skin and here are the results after 30 days:<br /><br />** Vitamin C Serum - No difference.  It was so thin and runny, I'm not sure it did anything for my skin.  Will be throwing this away as it's past the 30 day return policy.<br /><br />** Facial Mask - This was supposed to be hydrating, but I found that it dried my face out terribly.  I couldn't keep it on for the minimum time suggested because my face started to hurt from the drying feeling.  Will be throwing this away as it's past the 30 day return policy.<br /><br />** Scrub For Your Face - This was OK, but a little drying.  I expected that since it's a scrub.  Will keep this product and use every once and awhile.<br /><br />** Facial Cleanser (orange bottle) - OMG this was SO drying!  Yes, it does make the face smooth, but when you combine this with the toner and the moisturizer, it looked like I was in the sun all day because my face was bright red.  Will be throwing this away as it's past the 30 day return policy.<br /><br />** Facial Toner - The bottle says to use this after the shower to &#34;lock in moisture&#34;.  I didn't feel like my skin was any more moisturized.  In fact, it didn't feel like anything.  If I used this alone or with a &#34;non-OZ&#34; moisturizer, I was OK.  If combined with 2 other products, it was like the trinity of hell for my face.  Will be throwing this away as it's past the 30 day return policy.<br /><br />** Facial Moisturizer (blue one with sea kelp) - Yea...went on smooth, but then my face felt &#34;stiff&#34; after it absorbed the moisturizer.  After the sunburn experience, I tried again with just the face wash/moisturizer combo and I needed an additional moisturizer, so my face didn't feel like it was going to &#34;crack&#34;.  Will be throwing this away as it's past the 30 day return policy.<br /><br />Combining the face wash, toner, and moisturizer -<br />This got me twice - once I thought maybe I did something wrong and it took after sun aloe to make my face stop burning.  The 2nd time I cursed my stupidity at trying again and will not use that combination (or the products because they will be going in the trash) again.  I tried several different combinations of these products and was always met with 1 of 2 results - the fiery depths of hell on my face or feeling like my face was so dry I was standing in full sun in the desert.  Neither was a pleasant experience for me.<br /><br />I know some people like these products and I was hoping they would work for me, so I could get away from the products on the market that are polluted with chemicals, but this was a terrible experience for me.  Back to the drawing board!""]"
11,107,11_disappointing horrible_pretty_rip_hair br,"['disappointing horrible', 'pretty', 'rip', 'hair br', 'wavy', 'crease', 'flawed', 'hair', 'strands', 'twist']","['This clip does not hold the hair very well at all. It is so so pretty and i wanted it to work because the idea is awesome. The main clip slips down the hair and doesnt stay. And the little clips dont hold either and the hair slips out. I did make a small ponytail in the hair and then placed the main clip above that and it helps it stay in place. But the small clips still dont hold and the hair slips out every time. Maybe theres a way to make it stay but i havent figured it out yet.', 'Wondering what I mean? Check out the photo. These clips are the longer lower clips (the ones above are professional wave styling hair clips) if you notice those teeth of clips touch each other and do so to provide a wave kink (era 1920’s) that some of us love. The clips I bought; those teeth interlace; so as far as using for a temporary hold your hair sectioned while you style your hair. Not recommended bc they get caught up hair as well. I would use plastic hair clips for sectioning. So I don’t recommend at all. There is more to say why not but if you bought them you’d find out other complaints pretty easy (like round and awkward bent finger gripper to open the clip is awful) like that. Don’t buy!', 'The clips are too small and not made to clip into curly hair.']"
12,106,12_products disappointed_beauty products_products_product,"['products disappointed', 'beauty products', 'products', 'product', 'lipstick', 'reviews', 'lip gloss', 'lip balm', 'lipsticks', 'authentic']","['It made my lips stick together. It is a mess', ""I love everything from lipsticks to lip gloss, chap stick to scrubs, lip stains to everything in between. One of my favorite lip colors is rich reds and purple hues. With busy days I make sure to drink lots of tea and water and I always eat. So looking for a longer lasting product I found this one that was waterproof and long lasting. I read some of the reviews and as usual there where mixed remarks, its easy to apply and definable highlights your lips giving them a fuller effect with the usual dry chapped feeling that most mattes gives. While this product does dry quickly it can feel a bit sticky although not enough that your lips stick to everything. It doesn't rub off that easy but it does come off. It is NOT waterproof and WON'T last through consistent water drinking, consuming food, or if you have a habit of licking/biting your lips. So for that you have to keep the lip gloss handy for reapplication. The colors are pretty but just like any else lip gloss minus the dry and cracking feeling often achieved by matte. I wouldn't buy this product again and had I known the whole purpose I purchased this in the first place was a fraud I would have saved my money."", 'Makes my lips more dry']"
13,102,13_long lashes_lashes long_lashes_work lashes,"['long lashes', 'lashes long', 'lashes', 'work lashes', 'lashes way', 'eyelashes', 'eyelash', 'lash line', 'lashes lashes', 'lashes hard']","['I bought this for the eyeliner, which was the worst eyelash liner glue I have ever used. I ended up loving the lashes though, so I am reordering for those. I purchased Kiss Lash Liner/Glue, which is $9 on its own, but definitely worth it compared to this “liner glue.” I’m giving the whole product a 2 because you can’t wear the lashes if you don’t have a halfway decent adhesive.<br /><br />(Don’t mind my awful photos, I’m no makeup expert, but these lashes are fab!)', 'These lashes are horrible super thin', 'If I could give these lashes zero stars I would. I carefully and slowly tried to remove the lashes from the holder but the adhesive was so strong that the band stuck so firmly to the holder and speedster from the lashes (see pictures). On one pair the adhesive was so strong that the lashes ripped. I’ve purchased these type of self-adhesive, reusable and washable lashes from 3 other sellers so I know what to expect - so I absolutely know that these are faulty. I was really excited because I purchased the “thick” style, hoping to find a pair that were fuller than what I’ve already purchased but these were just awful. Please don’t waste your money or time with these. There are better lashes out there. Returning.']"
14,99,14_brush_eyeliner stick_vaseline_magnetic eyeliner,"['brush', 'eyeliner stick', 'vaseline', 'magnetic eyeliner', 'smudged', 'eyeliner dried', 'dry clumpy', 'eyeliner came', 'came dried', 'pull eyeliner']","['As I was opening up my box these lashes look fantastic but my problem is whenever I open up the eyeliner as I pull it out the eyeliner splatters out of the bottle and goes everywhere all I could think of is meAs I was opening up my box these lashes look fantastic but my problem is whenever I open up the highlighter as I pull it out the eyeliner splatters out of the bottle. I tried opening the eyeliner several different ways and each time the eyeliner splatters out. I am really debating on returning the product but the thing that keeps on holding me back is these eyelashes are just so beautiful I think I received a defective bottle of eyeliner.', 'Very hard to get eyeliner even and could not get edges to stick', 'This eyeliner is not waterproof.  When you apply the eyeliner it is not an even line.  The color is very faint and watered down you can barely see it.  When you put the eyeliner on the back of you hand it has the look you want on your eyes but when applied to the eyes  the color is not there.  And they say it is all day long lasting, omg, if you touch your eye in any manner off comes the eyeliner so make sure if you touch 1 eye to do the same on the other or you will be walking around having 1 eye w/ eye liner and the other without.  Total wast of money.']"
15,93,15_order_included order_ordered_items received,"['order', 'included order', 'ordered', 'items received', 'pack received', 'seller', 'advertised', 'listing says', 'received', 'package']","['Item was listed as a (2 Pack) in the description but I only received one.<br />As a two pack the price was acceptable, as a one pack it is not !!', 'Still in the pack', 'This is NOT for a pack of 3. It is only for 1 each. You will not get a pack of 3 as listed']"
16,93,16_returned product_recommend returned_fine print_product looks,"['returned product', 'recommend returned', 'fine print', 'product looks', 'picture returned', 'incorrectly didn', 'product', 'returned', 'quality', 'item looks']","['looks nothing like the picture', 'Nothing like the picture.', 'Nothing like the picture']"
17,92,17_soap does_bar soap_olive oil_soap don,"['soap does', 'bar soap', 'olive oil', 'soap don', 'doesn lather', 'hand soap', 'soap smells', 'soap', 'scented', 'does lather']","['the bag sticks to soap- will not soap-up', 'The BOTTLE of MOR soap was EMPTY❓', ""Way too thick.  I can't get the soap to even come through its so thick.""]"
18,79,18_defective_hairspray_hair spray_impossible use,"['defective', 'hairspray', 'hair spray', 'impossible use', 'try', 'refund', 'tip', 'worked', 'damaged', 'stopped working']","['This spray bottle worked great for about two months and then the spray stopped working correctly as a mist. It still sprays, but I paid extra for this specific spray and it wasn’t worth it. DON’T BUY!!! It will not last long and is too expensive.', 'Did not spray at all', 'the spray top was shipped to me  broken. so I had to buy an empty spray bottle try to use this product.']"
19,78,19_product leaked_love product_product_received bottle,"['product leaked', 'love product', 'product', 'received bottle', 'bottle product', 'bottle came', 'sexy', 'rollers', 'bottle leaked', 'excited try']","['These bottles are garbage. I searched and searched for the best reviews, least likely to leak, etc...I missed the mark with these bottles. If you like your liquids to stay on the bottle and not leak, then stay away from these bottles. The push-top opening mechanism is where the leak drips from. Look elsewhere; these are worthless to me...', 'All of these bottles leaked and obviously empty bottles won’t work.', 'The bottles leak.']"
20,76,20_fake hair_product hair_hair mixed_hair purchase,"['fake hair', 'product hair', 'hair mixed', 'hair purchase', 'purchased hair', 'hair tried', 'human hair', 'hair synthetic', 'purchase hair', 'hair buy']","['Not human hair!', 'Y’all this was not human hair at all', 'This is not human hair']"
21,74,21_doesn spread_doesn resemble_product constantly_head cheap,"['doesn spread', 'doesn resemble', 'product constantly', 'head cheap', 'frizzy tangled', 'blend disappointed', 'gets frizzy', 'model disappointed', 'worth sending', 'really smell']","['Super thin. Takes a lot of coats. Use a white polish underneath as a base.', 'Do not trust the pictures  and description.<br />I order, as pictures show, professional double sided 100/180 files with cushion and plastic insert  in the middle, total about 4mm thickness.  But (month later) received  1mm thick double sided 220/220 sendpaper. Do not trust  sellers from China. Amazon should check sellers, product and description before allowed Chinese sellers use their website', 'Very thin, and way off on the color description. I ordered a 1b and the colored sent looked like a number 4. (Light brown)']"
22,73,22_horrible_cheap smelling_money horrible_trash,"['horrible', 'cheap smelling', 'money horrible', 'trash', 'quality big', 'store horrible', 'crappy', 'junk', 'looks', 'look like']","['Made of a cheap plastic I rather use the medal ones.', 'They are made of cheap plastic.', 'Cheap plastic.']"
23,71,23_picture disappointed_gave headache_got red_gone,"['picture disappointed', 'gave headache', 'got red', 'gone', 'returned didn', 'color like', 'headache', 'thumbs', 'wrong description', 'face got']","['Dislike', 'Dislike', 'Dislike the  magacation']"
24,70,24_skin don_skin_head_washed,"['skin don', 'skin', 'head', 'washed', 'small head', 'face masks', 'facial mask', 'ear', 'black mask', 'ears']","['These masks are too hard to put on your face because the mask is so wet and covered cream, it rips and leaves you without a full face mask. And if and when you can put the mask on your face without ripping it, it is uncomfortable, like you are wearing a wet paper towel. I would give this a pass.<br /><br />Katiebabs', 'Would not stay in mask it would fall out.', 'These mask are very thin.']"
25,67,25_good product_reviews likely_product results_help dried,"['good product', 'reviews likely', 'product results', 'help dried', 'reviews', 'smells nice', 'product sorry', 'rate product', 'product', 'using product']","['Have used it for 3 weeks twice a day as directed with very little results.  I am quite disappointed at the results, expected much better results as advertised. .', 'No results', 'not much in the way of results']"
26,67,26_dove deodorant_scents_deodorant_like deodorant,"['dove deodorant', 'scents', 'deodorant', 'like deodorant', 'vanilla scent', 'product', 'scent', 'deodorant doesn', 'mint', 'armpits']","['I thought I ordered the stick deodorant and tube of cream in Cool Tangerine. When I opened the stick deodorant it was a cream and the first ""note"" I smelled was a faint foul smell immediately followed by odd tangerine. I tried a little and it did work but probably will not by again. Makes me wonder if the product is old?  Products need to smell better and wanted stick deodorant not more cream in a stick deodorant container! Also to high priced!!', ""After spending weeks trying to detox my self amd my cloths from aluminum deodorant and smelling worse than I ever have in my life 🙃 I'd like to say; this product was not for me.<br />The Lume customer service was great and the idea of the product was awesome. It felt like very nice lotion on my armpits,  but after only a couple hours of sitting in an air cooled vehicle... I was trying to find the source of this HORRIBLE smell only to find that it was my underarms.... I was not even sweating. ( this was just before I tried the whole detox process that Lume recommended). I also let them know that after 2 weeks of detox I was tired of smelling bad and switched back to my chemical ridden dove deodorant.<br />Thanks for trying Lume, but this deodorant did not work for me at all !"", 'Nice scent - but as a deodorant, it does not work at all.']"
27,66,27_really work_work described_does work_multiple,"['really work', 'work described', 'does work', 'multiple', 'doesn really', 'works like', 'work like', 'described', 'really', 'work doesnt']","[""Doesn't Work!!"", ""Doesn't work."", 'Doesn’t Work!!']"
28,65,28_work product_product_misleading products_product wait,"['work product', 'product', 'misleading products', 'product wait', 'tried 20', 'work tried', 'scam product', 'messy does', 'total failure', 'money product']","[""Doesn't work at all! Don't waste your money!"", 'this product does not work at all', 'This product does not work.']"
